run,crude_price,gasoline_price,diesel_price,profit,crude_processed
1,62.9802849180674,88.75562128945934,90.50535257385589,313661.81,100000.0
2,69.13817913844815,87.89261962748998,83.00983586593196,-172956.84,22222.22
3,69.47527689304435,96.90691256237618,81.0094677195529,-105863.39,22222.22
4,63.25536026151579,85.82924076468784,81.04129709465282,-78172.18,22222.22
5,61.45177362939621,72.78047779807981,70.33819842363923,-251826.43,22222.22
6,56.626274824554166,80.88451991699019,87.67110232705983,495664.5,100000.0
7,54.55185554687274,77.28926668798238,97.45801453583321,883861.96,100000.0
8,58.64534219708079,90.60775384219131,72.88964041718562,213952.12,100000.0
9,56.7337036528489,90.9983033073888,75.21655459191042,504132.69,100000.0
10,62.25418811007403,84.59425179073075,82.52060312675715,-56768.08,22222.22
11,56.389760326623616,106.67050366058044,84.88527358972756,1582181.21,100000.0
12,53.6537344262646,97.4029042089287,74.6228289752463,1079556.26,100000.0
13,61.25318157002853,72.36296888508201,73.71041858436334,-225359.98,22222.22
14,61.181167415214745,96.64619921995869,86.45663039011475,706944.29,100000.0
15,59.30611030567056,87.2900667396964,72.43256308187686,-17418.32,100000.0
16,55.680934749631746,85.85425106136191,93.98553892286078,1034841.69,100000.0
17,62.061709737410766,74.1326386017354,87.75471373985576,-116397.17,22222.22
18,57.6895063175021,83.90770199724638,90.19924845514738,613869.65,100000.0
19,66.18599713497571,98.38152107204579,77.86665105260758,-16098.48,100000.0
20,58.14472574489271,92.98137088263208,93.29213358054005,1084913.79,100000.0
21,57.12495457292826,88.32906921002565,75.59615272094877,358178.0,100000.0
22,52.82276025551597,97.31273240154778,96.528040242852,1925278.34,100000.0
23,59.567939270517996,99.03179608102822,88.07390621290489,1032223.61,100000.0
24,56.12928147236926,93.25256044957572,98.07331081496073,1466002.95,100000.0
25,59.78504376534029,104.08179290232606,62.732166615237176,350802.14,100000.0
26,64.93141502625134,90.78342361414354,82.45843752104012,-54853.81,22222.22
27,60.550564659213016,72.11187976859196,83.13278895338115,-138972.06,22222.22
28,62.14267542907048,103.30104640267365,80.594703144674,705094.16,100000.0
29,55.149038382640875,85.48418660773918,92.78091800046764,1029216.69,100000.0
30,61.97250665795811,85.23215816609665,89.36277318146352,215893.51,100000.0
31,60.582465296088245,98.717804914796,79.0325487020425,600193.9,100000.0
32,58.03402712041339,86.47102662181058,72.560122940877,77397.79,100000.0
33,61.77672166238746,92.34949744961901,85.04346438146092,404576.47,100000.0
34,58.59247719974912,77.26166332154628,81.42451475649445,-57247.75,22222.22
35,57.94371290083939,82.77950457700543,83.62907145083892,307723.92,100000.0
36,62.42430514088723,106.97567311089477,86.48391140907063,1048411.68,100000.0
37,61.545302344336584,89.3299867581045,68.69044466995814,-101225.61,22222.22
38,59.840916747304696,90.54207188946924,105.93755795612493,1248116.09,100000.0
39,58.84583421131327,92.71392608100251,84.70494995750543,702216.5,100000.0
40,52.987931774282806,100.28540533063519,91.39143077783758,1862750.14,100000.0
41,64.74619168225829,81.81551290684735,96.92375164295684,49410.22,100000.0
42,51.588893623246314,95.28171384420243,103.61887281938482,2205448.31,100000.0
43,54.05678204921587,84.90332043357505,85.84703660324494,869617.5,100000.0
44,56.97914607530281,76.0440291204048,85.58278528585123,169464.19,100000.0
45,53.62617771764337,94.26233187571664,77.18489400901268,1030658.45,100000.0
46,69.29960643010523,82.95072036897386,82.26247711225176,-231775.89,22222.22
47,64.88110330421802,78.92222115209441,86.9334094441351,-137542.46,22222.22
48,67.84285652569457,75.53265088894895,86.56938779752458,-240086.18,22222.22
49,61.559296765490544,97.03640584599579,74.4859189575363,267715.75,100000.0
50,52.07726032149434,94.69747409055208,87.52436972248208,1567013.24,100000.0
51,61.50295710207526,93.11803388547278,79.21978986658283,262708.46,100000.0
52,61.393522182966024,92.63765225968812,78.92801294677588,241822.59,100000.0
53,71.19464706686854,94.26449628820609,74.87392027377749,-218216.7,22222.22
54,63.93932165180298,81.2278649679541,91.69021913181084,-56560.13,22222.22
55,66.95157347404442,82.6138591348346,93.18869709857674,-97984.29,22222.22
56,62.47668556161899,97.3985414399504,101.12274035255855,1124561.72,100000.0
57,58.52767130398278,83.2163745207826,77.43912734818305,52339.18,100000.0
58,55.10513829020737,89.30608461527306,87.89979178594147,1034752.69,100000.0
59,61.660144795980116,97.44464924132421,85.11051608096221,647862.8,100000.0
60,68.7212044629439,87.61808850085839,108.12143791601176,304943.86,100000.0
61,63.75400408659004,82.28558199225346,75.89741376648054,-164697.72,22222.22
62,62.894834491459115,87.98883493206735,91.06900419978278,307429.27,100000.0
63,62.83942574744127,89.34453978608815,77.80225339641856,-58968.76,22222.22
64,50.91091665188481,85.98136543139681,92.27938975174952,1457848.42,100000.0
65,61.284562464781224,78.78835099159211,86.47203786973505,-62546.47,22222.22
66,62.31190427837302,82.0452830741898,86.30666340053699,-54093.22,22222.22
67,60.349252310676,79.71326731952439,88.0411925629604,83613.54,100000.0
68,63.364707158209406,99.74746118857749,93.95731744229667,890671.15,100000.0
69,51.733983792257455,81.5595746407639,89.3777997712736,1075005.47,100000.0
70,63.082715705473255,94.63542917675443,117.74821767056514,1521510.36,100000.0
71,63.425343064159,100.22009076162539,93.10901498969221,876185.3,100000.0
72,63.90834750783479,87.16257679823688,91.45123837419277,182274.55,100000.0
73,55.36304871277457,87.86863253933993,80.87440984345263,698387.94,100000.0
74,60.49124483631793,110.83192710006158,69.12824586297015,807800.84,100000.0
